,,Quiz1,Quiz1.1,Mid Sem,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Part1 Total,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Part2 Total,CBT Total,Matched ID,Match Status,Folder Name
,,,,23.5,2,7,4,5,3,4.5,5,30.5,3,4,0,0.5,0,0,0,7.5,38,2022B4A70623P,Green,1043
,,,,22,2,8,2,4,3,4,3,26,2.5,4,1.5,0,2,2,0,12,38,2022B4A71312P,Green,1068
,,,,33,2,8,2,2,4.5,5,4,27.5,2.5,4,0,4,0,0,0,10.5,38,2023A7PS0520P,Green,1115
,,,,15.5,2,9,3,4,4,5,5,32,3,2.5,0,0.5,0,0,0,6,38,2023A7PS0592P,Green,1262
,,,,29,2,8.5,0,4,4,5,5,28.5,0,0.5,0.5,4,4,0,0,9,37.5,2022B3A70612P,Green,1001
,,,,10.5,2,6,2,4,4,5,2,25,4,2,0.5,0,2,2,2,12.5,37.5,2023A7PS0025P,Green,1248
,,,,34,2,5,1,4,5,5,5,27,5,0,0,0,3,2,0,10,37,2023A7PS0246P,Green,1074
,,,,17.5,2,9,4,4,0,4,4,27,0,0,0,2,4,2,2,10,37,2023A7PS0525P,Green,1136
,,,,23,2,4,2,3,4,5,4,24,6,5,2,0,0,0,0,13,37,2022B3A70562P,Green,1156
,,,,36.5,2,5,3,3,3,4,4,24,3,4,1,1,2,2,0,13,37,2023A7PS0653P,Green,1275
,,,,40.5,2,8,2,1.5,2.5,4,0,20,2.5,8,0,0,4,2,0,16.5,36.5,2022B4A71705P,Yellow,1290
,,,,25,2,8,2,4,4,2,3,25,6,0,0,0.5,3,2,0,11.5,36.5,2022A8PS0570P,Green,1111
,,,,23,2,8,4,4,3,5,2,28,3.5,0,0,0,2.5,2,0,8,36,2023A7PS0586P,Yellow,1284
,,,,28,2,5.5,0,,,,,7.5,5,7,1,4,4,2,5,28,35.5,2022B4A70632P,Green,1097
,,,,15.5,2,9,4,3,1,3.5,3,25.5,1,5,0,0,4,0,0,10,35.5,2023A7PS0678P,Green,1126
,,,,6,2,6.5,0,3,3,5,4,23.5,7,5,0,0,0,0,0,12,35.5,2023A7PS0023P,Yellow,1289
,,,,37.5,2,9,2,4,4,5,3,29,0,2.5,2,0,2,0,0,6.5,35.5,2023A7PS0665P,Green,1254
,,,,23,2,7,3.5,4,3,4,4,27.5,0,5.5,1.5,0.5,0,0,0,7.5,35,2023A7PS0501P,Yellow,1286
,,,,9.5,0,3.5,0,1.5,1.5,1.5,1.5,9.5,7,7,2,1,4,2,2,25,34.5,2023A7PS0489P,Yellow,1295
,,,,44,2,3,0,5,5,5,5,25,3,4.5,0.5,1.5,0,0,0,9.5,34.5,2022B5A70724P,Green,1221
,,,,14,2,8,2,4,4,5,4,29,4,1,0,0.5,0,0,0,5.5,34.5,2022B5A70395P,Green,1222
,,,,9,2,9,0,4,3,4,4,26,5,3,0,0,0,0,0,8,34,2022B5A70717P,Green,1273
,,,,35.5,2,7,3.5,1.5,3.5,4.5,3,25,5,3,0.5,0,0,0,0,8.5,33.5,2023A7PS0645P,Green,1039
,,,,61,2,2,0,3.5,3,3,5,18.5,5,3,0,1.5,3,2,0,14.5,33,2022A8PS1254P,Green,1005
,,,,29,2,9,4,2,2,3,5,27,5,1,0,0,0,0,0,6,33,2022B3A70614P,Yellow,1287
,,,,14.5,2,9,1,2,2,5,5,26,2.5,0,0,4,0,0,0,6.5,32.5,2022B3A70607P,Green,1014
,,,,28.5,2,9,4,4.5,4.5,4.5,4,32.5,,,,,,,,0,32.5,2023A7PS0006P,Green,1107
,,,,19,2,6,3,4,3,5,3,26,3,0,0,3.5,0,0,0,6.5,32.5,2022B5A70943P,Green,1225
,,,,24,2,5,4,3,4,5,5,28,0,0,0,0,4,0,0.5,4.5,32.5,2022B3A70374P,Green,1259
,,,,2,2,8,4,3,4,5,5,31,0,1,0,0,0,0,0,1,32,2023A7PS0003P,Green,1091
,,,,19,2,7,3,5,5,5,5,32,0,0,0,0,0,0,0,0,32,2022B4A70887P,Green,1252
,,,,20,1.5,1,2,4,3,4.5,2,18,3,3,0.5,0.5,3,2,1,13,31,2023A7PS0026P,Green,1034
,,,,17.5,2,9,4,4,3.5,4.5,4,31,0,0,0,0,0,0,0,0,31,2022B3A70212P,Green,1035
,,,,23.5,2,8,3,4.5,4,4.5,5,31,0,0,0,0,0,0,0,0,31,2023A7PS0482P,Green,1095
,,,,41.5,2,4.5,4,2,5,5,5,27.5,2,1,0,0,0,0,0,3,30.5,2022B3A70536P,Green,1011
,,,,24,2,9,3,4,4,3,4,29,0,1,0,0.5,0,0,0,1.5,30.5,2022B3A70631P,Green,1087
,,,,38.5,2,5.5,1,0,1,3,5,17.5,5,4,2,1,1,0,0,13,30.5,2023A7PS0546P,Green,1142
,,,,28,2,0,0,3.5,1.5,3.5,3,13.5,6,0,0.5,4,4,2,0,16.5,30,2022B4A70807P,Green,1105
,,,,10,2,5,2,3,0,0,5,17,5,4,2,0,0,2,0,13,30,2023A7PS0650P,Green,1130
,,,,21,2,3.5,3,4.5,4.5,5,4,26.5,0.5,0,0,0,2.5,0,0,3,29.5,2023A7PS0561P,Green,1003
,,,,13.5,0,3,0,4.5,2,4,4,17.5,4.5,0,1.5,0,4,2,0,12,29.5,2022B3A70580P,Green,1118
,,,,25,1,6,0,4,4,4,3,22,3.5,0,0,0,2,2,0,7.5,29.5,2022B5A70783P,Green,1230
,,,,54,2,4,0,3,0.5,0,5,14.5,3.5,3,0,0,4,2,2,14.5,29,2021B5A82799P,Green,1015
,,,,0.5,1,3.5,2.5,2.5,3.5,3.5,3.5,20,3,4,0,0,1,1,0,9,29,2023A7PS0662P,Green,1208
,,,,2,2,8,4,4.5,4.5,3.5,2,28.5,0,0,0,0,0,0,0,0,28.5,2023A7PS0499P,Yellow,1283
,,,,27,2,7,4,3,4.5,4,4,28.5,0,0,0,0,0,0,0,0,28.5,2022B4A70496P,Green,1101
,,,,0,2,2,4,5,4,4,4,25,0,3.5,0,0,0,0,0,3.5,28.5,2023A7PS0552P,Green,1161
,,,,12.5,0,2,1.5,1,4.5,3,5,17,8.5,0,0,0,0,2,0,10.5,27.5,2023A7PS0618P,Green,1006
,,,,0,2,6,4,4,3.5,4,4,27.5,0,0,0,0,0,0,0,0,27.5,2023A7PS0636P,Green,1016
,,,,29,2,2,2,4,0,3,5,18,7.5,2,0,0,0,0,0,9.5,27.5,2021B1A82737P,Green,1017
,,,,16.5,2,1,1,1,0,3,5,13,2.5,5,5,0,0,2,0,14.5,27.5,2022B4A70627P,Green,1270
,,,,40,2,9,1,5,0,3,4.5,24.5,2.5,0,0,0,0,0,0,2.5,27,2022B3A70674P,Green,1020
,,,,19.5,2,2,0,3,3,4,2,16,2.5,1,0.5,4,1,2,0,11,27,2023A7PS0674P,Green,1106
,,,,26,0,0,0,0,0,0,0,0,6,7.5,3,3,3,2,2,26.5,26.5,2023A7PS0014P,Green,1186
,,,,10.5,2,6.5,4,4,0,0,0,16.5,4,3,1,0,1,1,0,10,26.5,2023A7PS0495P,Green,1191
,,,,5,2,3.5,1.5,3.5,2.5,2.5,0,15.5,4,3,1,0,1,1,1,11,26.5,2023A7PS0622P,Green,1192
,,,,20,2,9,3,5,2,3,2,26,0,0,0,0,0,0,0,0,26,2022B2A71135P,Green,1000
,,,,32,2,4,0,3,0,4,0,13,5,7,1,0,0,0,0,13,26,2022B5A71614P,Green,1040
,,,,18,2,8,2,3,5,3,3,26,0,0,0,0,0,0,0,0,26,2023A7PS0494P,Green,1073
,,,,7.5,2,3.5,0,3.5,2,4,5,20,3,2,0,0,1,0,0,6,26,2023A7PS0503P,Green,1202
,,,,18.5,2,8,1.5,2,2,4.5,5,25,0,0,0,0,0,0,0,0,25,2022B1A71006P,Green,1047
,,,,27.5,2,4,2,3,1,4,4,20,1,4,0,0,0,0,0,5,25,2023A7PS0565P,Green,1140
,,,,7.5,0,2.5,1.5,2.5,1.5,3.5,1.5,13,4,3,1,1,2,1,0,12,25,2023A7PS0577P,Yellow,1294
,,,,2.5,2,8.5,2,4,0,3.5,4.5,24.5,0,0,0,0,0,0,0,0,24.5,2022B3A71269P,Green,1027
,,,,19,2,2,2.5,1.5,2.5,4,4,18.5,0,0,0,0,4,2,0,6,24.5,2023A7PS0584P,Green,1030
,,,,14,2,2.5,1,3,2,2,0,12.5,4,3,0,0,2,1,2,12,24.5,2023A7PS0004P,Green,1174
,,,,31,1,1.5,0,1.5,4,4,4,16,6,0,0,0,0,2,0,8,24,2023A7PS0518P,Green,1032
,,,,50.5,2,8,0,1.5,3,4,3,21.5,2.5,0,0,0,0,0,0,2.5,24,2022B4A70685P,Green,1100
,,,,15,2,6,2,3,2,3,3,21,0,3,0,0,0,0,0,3,24,2022B2A70653P,Green,1215
,,,,22.5,2,3,0,2,3,0,0,10,5,3,0,0,3,2,1,14,24,2022B3A70404P,Green,1274
,,,,15,2,4,0,1.5,1.5,3,4,16,2.5,3,0.5,1.5,0,0,0,7.5,23.5,2023A7PS0512P,Green,1029
,,,,8,1.5,7,1,2.5,1,3.5,4,20.5,0,0,0,0,3,0,0,3,23.5,2023A7PS0027P,Green,1036
,,,,33,2,9,1,3,0,0,0,15,2.5,0,0,3.5,2,0,0,8,23,2022B5A70800P,Green,1076
,,,,18,2,9,4,2,3,2,0,22,0,1,0,0,0,0,0,1,23,2022A3PS1206P,Green,1090
,,,,16,2,1,0,0,0,2,0,5,5,6,1,1,2,2,1,18,23,2023A7PS0600P,Green,1167
,,,,26,,,,,,,,0,6,6,2,3,3,1,2,23,23,2022B1A71108P,Green,1190
,,,,8.5,2,5,3,5,5,3,0,23,0,0,0,0,0,0,0,0,23,2022B4A70804P,Green,1261
,,,,12,0,2,2,3,2,1,0,10,4,5,0,0,2,2,0,13,23,2023A7PS0652P,Green,1267
,,,,27,2,7,2,1,1,1,1,15,3,0,0,0,2.5,2,0,7.5,22.5,2023A7PS0560P,Green,1057
,,,,0,2,8,0,3,3,1,4,21,,,,,,,,0,21,2022A7PS0109P,Green,1125
,,,,9.5,2,0,0,1,2,2,3,10,1,3.5,1,0,4,1,0,10.5,20.5,2022B5A70865P,Green,1258
,,,,16.5,1,2.5,4,3,2.5,2,5,20,0,0,0,0,0,0,0,0,20,2023A7PS0567P,Green,1055
,,,,5,2,0,0,2,0,0,0,4,6,5,2,0,2,1,0,16,20,2023A7PS0484P,Green,1187
,,,,44,2,3,2,3,3,3.5,3.5,20,,,,,,,,0,20,2021A3PS2651P,Green,1197
,,,,12,2,3,0,2,0,3,2,12,2.5,4,0,0,1,0,0,7.5,19.5,2023A7PS0504P,Green,1077
,,,,22.5,2,3,2.5,4,3.5,4,0,19,0,0,0,0,0,0,0,0,19,2023A7PS0491P,Yellow,1291
,,,,19,0,2,0,4,5,4,4,19,0,0,0,0,0,0,0,0,19,2022B2A71347P,Green,1131
,,,,11.5,,,,,,,,0,6,7,3,0,1,1,1,19,19,2023A7PS0613P,Green,1198
